02011;AMBLENY                               ;02290;AMBLENY                               
02012;AMBRIEF                               ;02200;AMBRIEF                               
02013;AMIFONTAINE                           ;02190;AMIFONTAINE                           
02014;AMIGNY ROUY                           ;02700;AMIGNY ROUY                           
02015;ANCIENVILLE                           ;02600;ANCIENVILLE                           
02016;ANDELAIN                              ;02800;ANDELAIN                              
02017;ANGUILCOURT LE SART                   ;02800;ANGUILCOURT LE SART                   
02018;ANIZY LE CHATEAU                      ;02320;ANIZY LE CHATEAU                      
02019;ANNOIS                                ;02480;ANNOIS                                
02020;ANY MARTIN RIEUX                      ;02500;ANY MARTIN RIEUX                      
02021;ARCHON                                ;02360;ARCHON                                
02022;ARCY STE RESTITUE                     ;02130;ARCY STE RESTITUE                     
02023;ARMENTIERES SUR OURCQ                 ;02210;ARMENTIERES SUR OURCQ                 
02024;ARRANCY                               ;02860;ARRANCY                               
02025;ARTEMPS                               ;02480;ARTEMPS                               
02026;ARTONGES                              ;02330;ARTONGES                              
02027;ASSIS SUR SERRE                       ;02270;ASSIS SUR SERRE                       
02028;ATHIES SOUS LAON                      ;02840;ATHIES SOUS LAON                      
02029;ATTILLY                               ;02490;ATTILLY                               
02030;AUBENCHEUL AUX BOIS                   ;02420;AUBENCHEUL AUX BOIS                   
02031;AUBENTON                              ;02500;AUBENTON                              
02032;AUBIGNY AUX KAISNES                   ;02590;AUBIGNY AUX KAISNES                   
02033;AUBIGNY EN LAONNOIS                   ;02820;AUBIGNY EN LAONNOIS                   
02034;AUDIGNICOURT                          ;02300;AUDIGNICOURT                          
02035;AUDIGNY                               ;02120;AUDIGNY                               
02036;AUGY                                  ;02220;AUGY                                  
02037;AULNOIS SOUS LAON                     ;02000;AULNOIS SOUS LAON                     
02038;LES AUTELS                            ;02360;LES AUTELS                            
02039;AUTREMENCOURT                         ;02250;AUTREMENCOURT                         
